Quarter being forecasted,Model Forecast Right Before BEA's Advance Estimate,BEA's Advance Estimate,Release Date,,Error,Absolute Error,Squared Error,,,,,,,,,,,,,,,,,,,,,,,
Dec-23,2.38,3.30,25/01/2024,,0.9,0.9,0.8,,,,,,,,,,,,,,,,,,,,,,,
Sep-23,5.41,4.88,26/10/2023,,-0.5,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
Jun-23,2.41,2.41,27/07/2023,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
Mar-23,1.13,1.06,27/04/2023,,-0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
Dec-22,3.53,2.89,26/01/2023,,-0.6,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,
Sep-22,3.09,2.57,27/10/2022,,-0.5,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
Jun-22,-1.20,-0.93,28/07/2022,,0.3,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,
Mar-22,0.37,-1.41,28/04/2022,,-1.8,1.8,3.2,,,,,,,,,,,,,,,,,,,,,,,
Dec-21,6.50,6.89,27/01/2022,,0.4,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,
Sep-21,0.19,2.02,28/10/2021,,1.8,1.8,3.3,,,,,,,,,,,,,,,,,,,,,,,
Jun-21,6.43,6.50,29/07/2021,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
Mar-21,7.87,6.39,29/04/2021,,-1.5,1.5,2.2,,,,,,,,,,,,,,,,,,,,,,,
Dec-20,7.16,4.01,28/01/2021,,-3.1,3.1,9.9,,,,,,,,,,,,,,,,,,,,,,,
Sep-20,36.97,33.08,30/10/2020,,-3.9,3.9,15.1,,,,,,,,,,,,,,,,,,,,,,,
Jun-20,-32.08,-32.90,30/07/2020,,-0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,
Mar-20,-0.97,-4.78,29/04/2020,,-3.8,3.8,14.5,,,,,,,,,,,,,,,,,,,,,,,
Dec-19,1.74,2.08,30/01/2020,,0.3,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,
Sep-19,1.68,1.92,30/10/2019,,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,
Jun-19,1.33,2.06,26/07/2019,,0.7,0.7,0.5,,,,,,,,,,,,,,,,,,,,,,,
Mar-19,2.67,3.17,26/04/2019,,0.5,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
Dec-18,1.85,2.59,28/02/2019,,0.7,0.7,0.6,,,,,,,,,,,,,,,,,,,,,,,
Sep-18,3.55,3.50,26/10/2018,,-0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
Jun-18,3.82,4.06,27/07/2018,,0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,
Mar-18,1.98,2.32,27/04/2018,,0.3,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,
Dec-17,3.41,2.56,26/01/2018,,-0.9,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,
Sep-17,2.52,2.99,27/10/2017,,0.5,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
Jun-17,2.82,2.57,28/07/2017,,-0.3,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,
Mar-17,0.17,0.69,28/04/2017,,0.5,0.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
Dec-16,2.88,1.87,27/01/2017,,-1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
Sep-16,2.10,2.90,28/10/2016,,0.8,0.8,0.6,,,,,,,,,,,,,,,,,,,,,,,
Jun-16,1.83,1.22,28/07/2016,,-0.6,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,
Mar-16,0.62,0.54,28/04/2016,,-0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
Dec-15,1.02,0.69,29/01/2016,,-0.3,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,
Sep-15,1.06,1.49,29/10/2015,,0.4,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,
Jun-15,2.43,2.32,30/07/2015,,-0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
Mar-15,0.10,0.25,29/04/2015,,0.1,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,
Dec-14,3.49,2.64,30/01/2015,,-0.9,0.9,0.7,,,,,,,,,,,,,,,,,,,,,,,
Sep-14,2.70,3.55,30/10/2014,,0.8,0.8,0.7,,,,,,,,,,,,,,,,,,,,,,,
Jun-14,2.67,3.95,30/07/2014,,1.3,1.3,1.6,,,,,,,,,,,,,,,,,,,,,,,
Mar-14,0.35,0.11,30/04/2014,,-0.2,0.2,0.1,,,,,,,,,,,,,,,,,,,,,,,
