Dates,value_CCLACBW027SBOG,value_WTISPLC,value_EXPINF1YR,value_STLPPM,value_M2REAL,value_UNRATE,value_PPIACO,value_PCUOMFGOMFG,value_PCUATRANSATRANS,value_PCUATRADEATRADE,value_PCUAWHLTRAWHLTR,value_CSUSHPINSA,value_SPCS20RSA,value_WALCL,value_REAINTRATREARAT10Y,value_SAHMREALTIME,value_POPTHM,value_CES0500000003,value_NFCI,value_WEI,value_ICSA,value_ADPWNUSNERSA,value_FEDFUNDS,value_CORESTICKM159SFRBATL,value_CPIAUCSL,value_PAYEMS,value_MORTGAGE30US,USGGBE02 Index,USOSFR10 Curncy,CL1 Comdty,USOSFR2 Curncy,NDX Index ,SPX Index ,USDJPY Curncy,GSUSFCI Index,CESIUSD Index,Monthly Nominal GDP Index,Monthly Real GDP Index,Advance Estimate From BEA,Business Fixed Investment,Change in inventory investment ($Bil 2009),Change in net exports ($Bil 2009),Current change in private inventories ($Bil 2009),Data releases,Days until advance estimate,Equipment,Exports,Federal Govt,Final Sales,Final Sales to Domestic Purchasers,Final Sales to Private Domestic Purchasers,Final_GDP_Interp,Fixed Investment,Forecast Error,GDP Nowcast,GPDI,Goods exports,Goods imports,Government,Imports,Intellectual Property Products,"Net Exports (current, $Bil 2009)","Net Exports (previous, $Bil 2009)",PCE,PCE Goods,PCE Services,Previous change in private inventories ($Bil 2009),Publication Date of Advance Estimate,Quarter being forecasted,Residential,S&L,Services exports,Services imports,Structures
2024-01-19,1035.5153,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7673741.0,1.68087145,0.2,336194.0,34.52,-0.49517,1.68,189000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.6,2.2934,3.7558,73.41,4.2295,17314.0,4839.81,148.12,99.4,13.5,28107.31124,22723.126,3.3,3.1,-27.9,-6.7,49.9,Existing-home sales,6.0,1.4,1.6,4.5,2.9,2.9,2.7,3.3333712,2.3,0.9,2.4,-0.7,-0.4,1.1,3.9,1.9,5.4,-937.3,-930.7,2.8,3.6,2.4,77.8,25/01/2024,31/12/2023,-0.6,3.6,5.6,5.7,2.0
2024-01-22,1035.5153,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7673741.0,1.68087145,0.2,336194.0,34.52,-0.49517,1.37,215000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.6,2.3154,3.7413,75.19,4.226,17330.38,4850.43,148.1,99.39,11.1,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.7536683,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-23,1035.5153,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7673741.0,1.68087145,0.2,336194.0,34.52,-0.49517,1.37,215000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.6,2.2863,3.7635,74.37,4.205,17404.21,4864.6,148.35,99.41,8.3,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.7536683,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-24,1035.6056,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7677230.0,1.68087145,0.2,336194.0,34.52,-0.49517,1.37,215000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.6,2.3026,3.8102,75.09,4.2432,17499.3,4868.55,147.51,99.4,16.8,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.7536683,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-25,1035.6056,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7677230.0,1.68087145,0.2,336194.0,34.52,-0.49517,1.37,215000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.69,2.3219,3.7552,77.36,4.1549,17516.99,4894.16,147.66,99.36,25.3,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.748678,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-26,1035.6056,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7677230.0,1.68087145,0.2,336194.0,34.52,-0.49136,1.37,215000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.69,2.3648,3.7716,78.01,4.2054,17421.01,4890.97,148.15,99.36,27.3,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.748678,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-29,1035.6056,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7677230.0,1.68087145,0.2,336194.0,34.52,-0.49136,1.33,227000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.69,2.3606,3.7127,76.78,4.1771,17596.27,4927.93,147.5,99.31,30.0,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.7474523,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-30,1035.6056,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7677230.0,1.68087145,0.2,336194.0,34.52,-0.49136,1.33,227000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.69,2.3782,3.6721,77.82,4.1977,17476.71,4924.97,147.61,99.28,27.8,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.7474523,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-01-31,1038.8917,74.15,2.41863256,0.94088773,6713.3,3.7,251.328,244.078,158.986,173.411,190.864,310.455,322.223385211528,7630124.0,1.68087145,0.2,336194.0,34.52,-0.49136,1.33,227000.0,131346000.0,5.33,4.603922367,309.685,157533.0,6.69,2.328,3.5487,75.85,4.0715,17137.24,4845.65,146.92,99.35,25.7,28107.31124,22723.126,,1.5,-16.0,16.0,61.0,,,0.1,2.1,2.9,3.4,3.0,3.1,3.7474523,1.3,,3.0,-0.3,2.7,0.3,2.4,-0.3,5.3,-893.0,-908.0,3.6,4.7,3.1,76.0,,Mar-24,0.6,2.2,0.8,-2.9,-2.6
2024-02-01,1038.8917,77.25,2.42832804,0.91230154,6681.7,3.9,255.51,248.72,159.731,174.094,191.291,310.455,322.223385211528,7630124.0,1.6168231,0.27,336194.0,34.57,-0.49136,1.33,227000.0,131346000.0,5.33,4.403102398,311.054,157808.0,6.63,2.2724,3.5208,73.82,4.0579,17344.71,4906.19,146.43,99.23,30.7,28107.31124,22723.126,,3.1,-11.0,9.0,65.0,,,1.5,4.3,2.9,4.4,4.1,4.5,3.4867356,2.9,,4.2,1.7,6.1,3.3,2.5,2.1,5.4,-899.0,-908.0,4.9,7.5,3.6,76.0,,Mar-24,2.1,2.3,0.8,-2.9,1.7
